60.0	1
60.5	1
61.0	1
61.5	1
62.0	1
62.5	1
63.0	1
63.5	1
64.0	1
64.5	1
65.0	1
65.5	1
66.0	1
66.5	1
67.0	1
67.5	1
68.0	1
68.5	1
69.0	1
69.5	1
70.0	1
70.5	1
71.0	1
71.5	1
72.0	1
72.5	1
73.0	1
73.5	1
74.0	1
74.5	1
75.0	1
75.5	1
76.0	1
76.5	1
77.0	1
77.5	1
78.0	1
78.5	1
79.0	1
79.5	1
80.0	1
80.5	2
81.0	1
81.5	2
82.0	2
82.5	2
83.0	3
83.5	4
84.0	4
84.5	6
85.0	7
85.5	8
86.0	9
86.5	10
87.0	10
87.5	14
88.0	19
88.5	21
89.0	23
89.5	29
90.0	33
90.5	40
91.0	47
91.5	54
92.0	68
92.5	78
93.0	85
93.5	102
94.0	120
94.5	138
95.0	159
95.5	186
96.0	216
96.5	229
97.0	248
97.5	250
98.0	246
98.5	210
99.0	158
